,info,answer,score,generated_answer,detailed_generated_answer
13,110年學測-國文科第14題,A,0.0,AD,"                           correct answer(s): (A), (D)                           Explanation:                           (A) In ""Shiji,"" Sun Shuang is a companion of Liu Bei, which fits the description of a Partner (1 is essential) who shares the same goal with the protagonist.                           (D) In ""Ran Ying Wai Shi,"" Hu Bandit is a mentor to Fan Jin, which fits the description of a Mentor (1 is essential) who teaches the protagonist or imparts knowledge.                           Option (B) is incorrect because the fisherman in ""Chu Ci"" is not a mentor but a symbolic figure. Option (C) is also incorrect because Wuxian in ""Hong Lou Meng"" is more of an antagonist than a partner."
14,110年學測-國文科第15題,D,1.0,D,"                           correct answer: (D)                           Explanation:                           (A) This statement is not directly related to the investigation of the content.                           (B) This statement is about the change in preference in the Song Dynasty Words Collection, not the Ming Dynasty.                           (C) This statement is about the Tang Song Meijia Wonderful Words Collection, not the Ming Dynasty Words Collection.                           (D) This statement provides a method to investigate the content by referring to the ""*"" notes and comparing the average number of works by each author in Meijing and Lefu Yaowords. This method is the most suitable for the given question."
15,110年學測-國文科第16題,C,0.0,A,"                           correct answer(s): (A) A is correct, B is incorrect                           Explanation:                           The question asks for the most appropriate conclusion for options A and B. However, the information provided in the question does not give any details about the table or its contents. Therefore, we cannot determine whether option B is correct or incorrect. Thus, the correct answer is (A) A is correct, B is incorrect."
16,110年學測-國文科第17題,C,0.0,D,"                           correct answer: (D)                           Explanation:                           Option (D) is the most inappropriate interpretation of the symbolism in the poem. The other options touch on various aspects of the poem, such as the passage of time, the transience of the world, and the deepening of emotional intensity, which can be considered more appropriate interpretations of the symbolism in the poem. However, option (D) does not seem to relate to any specific symbolism or imagery in the poem, making it the most inappropriate choice."
17,110年學測-國文科第18題,B,0.0,A,"                           correct answer: (A) Humans and animals have significant differences in moral consciousness and various aspects of daily life.                           Explanation:                           The phrase ""人禽之辨"" in the context of this passage refers to the differences between humans and animals. In this case, the differences are primarily in the realm of moral consciousness and various aspects of daily life, as mentioned in option (A). The other options do not directly address the meaning of ""人禽之辨"" in the given passage."
18,110年學測-國文科第19題,A,0.0,AD,"                           correct answer(s): (A), (D)                           Explanation:                           (A) 甲文強調「君子」應「嚴格區別差異」，彰顯人道的尊嚴和價值。                           (D) 乙文強調「君子」應「尊重差異」，尊重彼此的獨特性。                           Option (B) and (C) are not mentioned in either of the two texts."
19,110年學測-國文科第20題,B,1.0,B,"                           correct answer: (B) If a person becomes a brand, it is difficult to measure their value in the usual way                           Explanation:                           The text discusses the difference between the mindsets of professionals (border collies) and entrepreneurs (wolves) in terms of time and value. It emphasizes that the value of a person (or a company) cannot be measured in the traditional way when they become a brand or gain a certain reputation. Option (B) best captures this idea, while options (A), (C), and (D) do not directly address the main point of the text."
20,110年學測-國文科第21題,D,0.0,B,"                           correct answer(s): (B)                           Explanation:                           Since the question does not provide any information or context about Alpha and Beta conclusions, it is impossible to determine which of the two conclusions is correct. Therefore, the most appropriate assessment is that neither Alpha nor Beta is correct."
21,110年學測-國文科第22題,D,0.0,C,"                           correct answer: (C)                           Explanation:                           The passage describes the atmosphere in a computer room where students of various ages are taking an exam. The narrator mentions the mix of young and older students, the sense of tradition and responsibility in the school, and the feeling of being in the eye of a historical storm. The closest description of this atmosphere in the room is ""闈場內依稀湧動著一縷篝火的熾焰氣味,"" which means that the room has an atmosphere of solemnity and importance, similar to the atmosphere in ancient Chinese examinations."
22,110年學測-國文科第23題,D,0.0,B,"                           correct answer: (B)                           Explanation:                           (A) is not inappropriate as it relates to the theme of identity and self-exploration.                           (B) is incorrect because it does not relate to the context of ""真正"" (true or genuine) and the feelings associated with it.                           (C) is not appropriate as it discusses the character's name, which is not the focus of the passage.                           (D) is also not suitable as it does not directly address the concept of ""真正"" and the emotions associated with it.                           Therefore, the most inappropriate option is (B)."
23,110年學測-國文科第24題,B,0.0,AC,"                           correct answers: (A), (C)                           Explanation:                           (A) In the first passage, Alpha suggests raising prices to increase merchants' profits and stimulate the economy, indicating a positive attitude towards merchants.                           (C) In the second passage, Fan Wen Zhong advocates for the government to manage mountain resources and distribute them to the poor, showing concern for the welfare of the people and a responsible approach to resource management.                           Therefore, choose (A) and (C)."
24,110年學測-國文科第25題,A,0.0,D,"                           correct answer(s): (D)                           Explanation:                           Both passages imply that farmers face economic disadvantages and need support. Alpha suggests reducing opportunities for wine and meat to focus on agriculture, while Beta proposes tax preferences to encourage farming. Both options indicate that the farmers need protection and support in their agricultural activities."
25,110年學測-國文科第26題,B,0.0,A,"                           correct answer: (A)                           Explanation:                           The question discusses the relationship between text and thought and emotions. It gives an example of a change in the text of a poem, which not only affects the smoothness and beauty of the text but also changes the meaning and emotional impact. The correct answer is (A) because it demonstrates the close relationship between text and thought and emotions, showing that changes in the text can have a significant impact on the emotional content and meaning of the passage."
26,110年學測-國文科第27題,D,0.0,A,"                           Correct answer: (A)                           Explanation: The question asks about the close relationship between text and emotional expression and how changing one or two words can affect the emotional expression in a piece of writing. The passage provided by 甲 discusses this relationship in detail, using the example of Han Yu changing a line in a poem. The passage emphasizes that the choice of words can significantly impact the atmosphere and emotional expression of the text. Therefore, the correct answer is (A), as it is directly related to the topic of the question."
27,110年學測-國文科第28題,D,0.0,C,"                           correct answer: (C)                           Explanation:                           (A) Jack Lang's focus is on pondering and contemplating the text to express different thoughts and feelings.                           (B) Wang Shouzhi's focus is on genuine feelings being more important than skillful words.                           (C) Jack Lang expresses doubt about the comparison between ""monk knocks on the moonlit door"" and ""monk pushes the moonlit door,"" while Wang Shouzhi does not make a judgment on their superiority or inferiority. This statement is the least accurate based on the given texts.                           (D) Both Jack Lang and Wang Shouzhi emphasize the importance of contemplating the text and maintaining a consistent emotional tone, but they do not necessarily agree on this specific point."
28,110年學測-國文科第29題,D,0.0,C,"                           correct answer: (C)                           Explanation: The question asks about the statement that best describes bird calls according to the text. Option (C) states that birds can use various meaning units to express different messages, which aligns with the idea that bird calls can convey different information. Options (A), (B), and (D) do not accurately represent the information provided in the text."
29,110年學測-國文科第30題,C,0.0,B,"                           correct answer: (B)                           Explanation:                           (A) While it's true that parrots can learn phrases, this statement doesn't address the core difference between animal and human language.                           (B) The main difference between animal and human language is the ability to communicate complex ideas and abstract concepts through symbolic systems, not just vocal apparatus.                           (C) The difference between human language and other animal communication systems lies in the complexity of the systems, not just grammar.                           (D) While mastering pronunciation is important in learning a new language, it doesn't define the essence of human language.                           Therefore, choose (B) as the most suitable conclusion based on the given text."
30,110年學測-國文科第31題,A,1.0,A,"                           correct answer: (A) Am I good at arguing? I have no choice.                           Explanation:                           The question asks for a sentence that best fits the context of Zeng Zao's response to Li Yi's letter. In the passage, Zeng Zao argues with Li Yi about the importance of writing and the relationship between writing and speech. The sentence (A) ""Am I good at arguing? I have no choice."" fits the context because it reflects Zeng Zao's argumentative nature in the passage. The other options do not directly relate to the context of the passage."
31,110年學測-國文科第32題,D,0.0,C,"                           correct answer: (C) Reading should not be too hasty                           Explanation:                           The question asks what Zi Gong is mainly trying to remind Liang of according to the passage in Zi Gong's book. The passage emphasizes the importance of not being hasty in reading and learning, as it can lead to misunderstandings and mistakes. Therefore, the correct answer is (C) Reading should not be too hasty."
32,110年學測-國文科第33題,C,0.0,A,"                           correct answer: (A) A simple and unpretentious personality                           Explanation:                           In the passage from ""Zuozhuan"", the aspect of Jixia's meeting with the Wang King that is emphasized is his simple and unpretentious personality. This is evident in the description of Jixia's appearance and demeanor, which highlights his humility and lack of concern for personal grooming. Options (B), (C), and (D) do not focus on this particular aspect of the passage."
33,110年學測-國文科第34題,C,0.0,D,"                           correct answer: (D)                           Explanation:                           The passage from《Warring States》emphasizes the importance of perseverance and dedication in achieving success. While other options may touch upon related ideas, option (D) best captures the central theme of the passage."
34,110年學測-國文科第35題,CE,0.19999999999999996,CD,"                           correct answers: (C), (D)                           Explanation:                           (C) Modest and modest have the same meaning in both sentences, as they both refer to a quality of being unassuming or having a moderate opinion of oneself.                           (D) Humble and humble also have the same meaning in both sentences, as they both refer to the quality of being modest or having a low view of one's own importance.                           The other options do not have the same meaning in both sentences."
35,110年學測-國文科第36題,ACE,0.0,AB,"                           correct answers: (A), (B)                           Explanation:                           (A) ""Day by day, the stars fade and the mountains sink; Westward the years go, and the I Ching changes."" This couplet contrasts the fading of stars and mountains with the passage of time and change in the I Ching, creating a sense of contradiction in meaning while maintaining a similar tone.                           (B) ""When a man is at the end of his resources, he changes; When he is at the end of his wits, he knows repentance."" This couplet contrasts a man's change in circumstances and behavior when faced with the end of his resources and the end of his wits, highlighting the contrast in meaning while maintaining parallelism through the use of opposing elements.                           (C), (D), (E) do not perfectly match the definition of ""正對"" and ""反對"" as they do not exhibit the necessary characteristics of similar tone and contrasted meaning or parallelism of opposing elements."
36,110年學測-國文科第37題,CD,0.0,B,"                           correct answer: (B)                           Explanation:                           (B) ""Is there no one who is more talented than Zhu Ling in the state of Meng?"" This sentence contains the character ""於"" and compares someone's talent to Zhu Ling in the state of Meng. It has a similar meaning to ""A compared to B."""
37,110年學測-國文科第38題,BC,0.0,A,"                           correct answer: (A)                           Explanation:                           The word ""turning the tide"" in option (A) is most appropriate to use in the sentences where a line is drawn. It metaphorically means changing the course of events or situations, which can be used to describe a significant change or turning point. In the given context, Jeremy's winning goal serves as a turning point for his team."
38,110年學測-國文科第39題,BC,0.0,ACD,"                           correct answers: (A), (C), (D)                           Explanation:                           (A) ""Emitting very ugly noises"" indicates Hat Fulfill's negative reaction to Lily's voice, showing his discomfort and disgust.                           (C) ""Cotton fluff from the throat"" symbolizes Lily's desire to express herself but being unable to do so, as the words remain in her heart like cotton fluff.                           (D) ""Spinning out from the mouth"" suggests Lily's eloquence, as she can describe ordinary objects in a fascinating way.                           (B) and (E) are not supported by the passage.                           Therefore, choose (A), (C), (D)"
39,110年學測-國文科第40題,AD,0.0,B,"                           correct answer: (B)                           Explanation:                           (A) The passage does not mention Zhou Meng identifying thieves by their appearance and expression.                           (B) This option best describes the story, as it mentions Zhou Meng's skill in capturing thieves, earning the Duke's praise, and being entrusted with governing the country, leading to a peaceful and prosperous era.                           (C) The passage does not mention jealousy from peers or Wen Zhou's prediction of Zhou Meng's death.                           (D) Wen Zhou's belief in being cautious and smart is not mentioned in the passage.                           (E) The passage does not mention Wen Zhou recommending Randian as a counselor or thieves changing their ways.                           Therefore, choose (B) as the correct answer."
40,110年學測-國文科第41題,CD,0.0,ABDE,"                           correct answers: (A), (B), (D), (E)                           Explanation:                           (A) Background knowledge can indeed enhance memory and make the perception system more sensitive.                           (B) Experts and beginners differ in their range of knowledge in a specific field.                           (D) Richer background knowledge helps to establish connections and give meaning to new information.                           (E) Background knowledge contributes to the formation of a subject's cognitive model, enabling them to actively search for information outside.                           However, (C) is not entirely accurate, as the amount of background knowledge does not directly affect the subject's ability to accept and understand new information. It may sometimes hinder the acceptance of new information if the subject is too rigid in their existing beliefs."
41,110年學測-國文科第42題,BCE,0.19999999999999996,ABC,"                           correct answers: (A), (B), (C)                           Explanation:                           (A) Both Alpha and Beta poems use the term ""waiting"" to describe the anxiety of long-term preparation before the exam.                           (B) Beta poem's ""blank"" refers to both the answers left on the exam sheet and the vacant time left behind by the exam.                           (C) Alpha poem uses ""halo"" and ""handcuff"" as metaphors to describe the complex emotions of anticipation and desire to break free; Beta poem uses ""ink"" to symbolize that the answers of the exam are stereotypical.                           Therefore, choose (A), (B), (C)"
